[16-Jul-2018 17:21:54 Asia/Taipei] PHP Notice:  Undefined index: getTitle in D:\TWAMP\htdocs\final\contextview.php on line 21
[16-Jul-2018 17:22:02 Asia/Taipei] PHP Notice:  Undefined index: getTitle in D:\TWAMP\htdocs\final\contextview.php on line 21
[27-Jul-2018 23:34:28 Asia/Taipei] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in D:\TWAMP\htdocs\final\modify.php on line 9
[27-Jul-2018 23:37:58 Asia/Taipei] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in D:\TWAMP\htdocs\final\modify.php on line 9
[27-Jul-2018 23:39:34 Asia/Taipei] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in D:\TWAMP\htdocs\final\modify.php on line 9
[27-Jul-2018 23:40:07 Asia/Taipei] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in D:\TWAMP\htdocs\final\modify.php on line 9
[27-Jul-2018 23:40:08 Asia/Taipei] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in D:\TWAMP\htdocs\final\modify.php on line 9
[27-Jul-2018 23:40:08 Asia/Taipei] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in D:\TWAMP\htdocs\final\modify.php on line 9
[27-Jul-2018 23:40:11 Asia/Taipei] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in D:\TWAMP\htdocs\final\modify.php on line 9
[27-Jul-2018 23:41:10 Asia/Taipei] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in D:\TWAMP\htdocs\final\modify.php on line 9
[27-Jul-2018 23:41:12 Asia/Taipei] PHP Warning:  mysqli_fetch_assoc() expects parameter 1 to be mysqli_result, boolean given in D:\TWAMP\htdocs\final\modify.php on line 9
[27-Jul-2018 23:49:59 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting end of file in D:\TWAMP\htdocs\final\account_modify.php on line 10
[27-Jul-2018 23:51:17 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting end of file in D:\TWAMP\htdocs\final\account_modify.php on line 10
[27-Jul-2018 23:52:40 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting end of file in D:\TWAMP\htdocs\final\account_modify.php on line 10
[28-Jul-2018 14:54:29 Asia/Taipei] PHP Notice:  Undefined index: inputSex in D:\TWAMP\htdocs\final\account_modify.php on line 7
[28-Jul-2018 14:55:29 Asia/Taipei] PHP Notice:  Undefined index: inputSex in D:\TWAMP\htdocs\final\account_modify.php on line 7
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Notice:  Undefined index: inputName in D:\TWAMP\htdocs\final\modify.php on line 12
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Notice:  Undefined index: inputEmail in D:\TWAMP\htdocs\final\modify.php on line 13
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Notice:  Undefined index: inputPassword in D:\TWAMP\htdocs\final\modify.php on line 14
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Notice:  Undefined index: inputBirth in D:\TWAMP\htdocs\final\modify.php on line 15
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Notice:  Undefined index: inputSex in D:\TWAMP\htdocs\final\modify.php on line 16
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Notice:  Undefined variable: conn in D:\TWAMP\htdocs\final\modify.php on line 18
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in D:\TWAMP\htdocs\final\modify.php on line 18
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in D:\TWAMP\htdocs\final\modify.php on line 19
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Notice:  Undefined variable: conn in D:\TWAMP\htdocs\final\modify.php on line 21
[28-Jul-2018 15:03:24 Asia/Taipei] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in D:\TWAMP\htdocs\final\modify.php on line 21
[28-Jul-2018 15:05:57 Asia/Taipei] PHP Notice:  Undefined index: inputName in D:\TWAMP\htdocs\final\modify.php on line 12
[28-Jul-2018 15:05:57 Asia/Taipei] PHP Notice:  Undefined index: inputEmail in D:\TWAMP\htdocs\final\modify.php on line 13
[28-Jul-2018 15:05:57 Asia/Taipei] PHP Notice:  Undefined index: inputPassword in D:\TWAMP\htdocs\final\modify.php on line 14
